"County
Number","District
Number","School
Number","County
Name",District Name,School Name,Enrollment,Number tested,"Percent
tested","Average
score",Total scores above 21,Percent scores above 21
1,61176,130534,Alameda,Fremont Unified,Circle of Independent Learning,37,3,8.11,NA,NA,NA
1,61176,134270,Alameda,Fremont Unified,Irvington High,512,103,20.12,26.22,84,81.55
1,61176,134452,Alameda,Fremont Unified,John F. Kennedy High,335,44,13.13,22.77,32,72.73
1,61176,135244,Alameda,Fremont Unified,Mission San Jose High,540,111,20.56,28.61,107,96.4
1,61176,138693,Alameda,Fremont Unified,Washington High,497,45,9.05,25.78,39,86.67
1,61192,108670,Alameda,Hayward Unified,Leadership Public Schools - Hayward,89,7,7.87,NA,NA,NA
1,61192,133009,Alameda,Hayward Unified,Brenkwitz High,183,,,,,
1,61192,133629,Alameda,Hayward Unified,Hayward High,395,60,15.19,19.18,16,26.67
1,61192,135319,Alameda,Hayward Unified,Mt. Eden High,498,14,2.81,19.29,3,21.43
1,61192,138339,Alameda,Hayward Unified,Tennyson High,354,6,1.69,NA,NA,NA
1,61200,130393,Alameda,Livermore Valley Joint Unified,Vineyard Alternative,55,,,,,
1,61200,130492,Alameda,Livermore Valley Joint Unified,Phoenix High (Continuation),20,,,,,
1,61200,132670,Alameda,Livermore Valley Joint Unified,Del Valle Continuation High,44,,,,,
1,61200,133397,Alameda,Livermore Valley Joint Unified,Granada High,556,79,14.21,25.39,71,89.87
1,61200,134536,Alameda,Livermore Valley Joint Unified,Livermore High,448,50,11.16,23.76,39,78
1,61234,130054,Alameda,Newark Unified,Newark Memorial High,531,52,9.79,23.29,41,78.85
1,61234,130484,Alameda,Newark Unified,Crossroads High (Alternative),12,,,,,
1,61234,130682,Alameda,Newark Unified,Progressive Academy,1,,,,,
1,61234,135426,Alameda,Newark Unified,Bridgepoint High (Continuation),49,,,,,
1,61242,110460,Alameda,New Haven Unified,Core Learning Academy at Conley-Caraball,157,,,,,
1,61242,134668,Alameda,New Haven Unified,James Logan High,1001,133,13.29,21.62,78,58.65
1,61259,100065,Alameda,Oakland Unified,Oakland Unity High,44,23,52.27,15.61,1,4.35
1,61259,100701,Alameda,Oakland Unified,MetWest High,31,3,9.68,NA,NA,NA
1,61259,100826,Alameda,Oakland Unified,Mandela High,49,11,22.45,17.09,3,27.27
1,61259,100834,Alameda,Oakland Unified,Media College Preparatory,52,13,25,16.23,1,7.69
1,61259,100842,Alameda,Oakland Unified,Robeson School of Visual and Performing,52,12,23.08,14.83,0,0
1,61259,100859,Alameda,Oakland Unified,"YES, Youth Empowerment",37,16,43.24,15.13,0,0
1,61259,101063,Alameda,Oakland Unified,College Preparatory and Architecture Aca,82,1,1.22,NA,NA,NA
1,61259,101469,Alameda,Oakland Unified,LPS College Park,47,24,51.06,15.21,0,0
1,61259,102954,Alameda,Oakland Unified,Business and Information Technology High,49,17,34.69,15.29,0,0
1,61259,102962,Alameda,Oakland Unified,East Oakland School of the Arts,56,14,25,15.86,1,7.14
1,61259,106542,Alameda,Oakland Unified,Community Day,3,,,,,
1,61259,107169,Alameda,Oakland Unified,Oasis High,48,,,,,
1,61259,107417,Alameda,Oakland Unified,Leadership Preparatory High,73,14,19.18,14.07,1,7.14
1,61259,108944,Alameda,Oakland Unified,Lighthouse Community Charter High,23,3,13.04,NA,NA,NA
1,61259,110171,Alameda,Oakland Unified,"Business, Entrepreneurial School of Tech",40,30,75,15.47,1,3.33
1,61259,110189,Alameda,Oakland Unified,"Expression, Excellence, Community, Empow",57,12,21.05,15,0,0
1,61259,110361,Alameda,Oakland Unified,Far West,29,3,10.34,NA,NA,NA
1,61259,111856,Alameda,Oakland Unified,American Indian Public High,23,,,,,
1,61259,115386,Alameda,Oakland Unified,East Bay Conservation Corps Corpsmember,117,,,,,
1,61259,115667,Alameda,Oakland Unified,Oakland International High,7,1,14.29,NA,NA,NA
1,61259,118653,Alameda,Oakland Unified,Ralph J. Bunche High,24,,,,,
1,61259,130146,Alameda,Oakland Unified,Rudsdale Continuation,54,,,,,
1,61259,130179,Alameda,Oakland Unified,Street Academy (Alternative),34,7,20.59,NA,NA,NA
1,61259,130575,Alameda,Oakland Unified,LIFE Academy,61,31,50.82,15.45,3,9.68
1,61259,130617,Alameda,Oakland Unified,"Oakland Military Institute, College Prep",42,4,9.52,NA,NA,NA
1,61259,130666,Alameda,Oakland Unified,Wilson (Lionel) College Preparatory Acad,48,20,41.67,16.5,5,25
1,61259,132688,Alameda,Oakland Unified,Dewey Academy,66,1,1.52,NA,NA,NA
1,61259,135905,Alameda,Oakland Unified,Oakland High,316,80,25.32,19.54,34,42.5
1,61259,136051,Alameda,Oakland Unified,Oakland Technical High,291,74,25.43,19.58,30,40.54
1,61259,137943,Alameda,Oakland Unified,Skyline High,429,112,26.11,20.72,57,50.89
1,61259,3030772,Alameda,Oakland Unified,Oakland School for the Arts,45,1,2.22,NA,NA,NA
1,61259,6098701,Alameda,Oakland Unified,Hillside Academy,4,,,,,
1,61259,6114011,Alameda,Oakland Unified,"Independent Study, Sojourner Truth",36,,,,,
1,61275,130286,Alameda,Piedmont City Unified,Millennium High Alternative,27,4,14.81,NA,NA,NA
1,61275,136515,Alameda,Piedmont City Unified,Piedmont High,184,72,39.13,27.22,68,94.44
1,61291,134528,Alameda,San Leandro Unified,Lincoln High (Continuation),69,,,,,
1,61291,137588,Alameda,San Leandro Unified,San Leandro High,665,81,12.18,20.41,41,50.62
1,61309,111799,Alameda,San Lorenzo Unified,East Bay Arts High,36,5,13.89,NA,NA,NA
1,61309,130849,Alameda,San Lorenzo Unified,Arroyo High,459,33,7.19,21.48,16,48.48
1,61309,137745,Alameda,San Lorenzo Unified,Royal Sunset (Continuation),75,,,,,
1,61309,137810,Alameda,San Lorenzo Unified,San Lorenzo High,387,74,19.12,18.36,20,27.03
1,75093,132704,Alameda,Dublin Unified,Dublin High,355,85,23.94,23.28,59,69.41
1,75093,138453,Alameda,Dublin Unified,Valley High (Continuation),51,,,,,
1,75101,113480,Alameda,Pleasanton Unified,Pleasanton Community Day,2,,,,,
1,75101,130096,Alameda,Pleasanton Unified,Foothill High,591,173,29.27,25.98,151,87.28
1,75101,130252,Alameda,Pleasanton Unified,Village High,116,,,,,
1,75101,130583,Alameda,Pleasanton Unified,Amador Valley High,563,169,30.02,25.27,148,87.57
2,61333,230045,Alpine,Alpine County Unified,Bear Valley High,1,,,,,
2,61333,230052,Alpine,Alpine County Unified,Woodfords High,1,,,,,
3,10033,330035,Amador,Amador County Office of Education,County Community,1,,,,,
3,10033,330068,Amador,Amador County Office of Education,Amador County Special Education,21,,,,,
3,32276,330027,Amador,CEA Amador Co,Pine Grove Youth Conservation Camp,15,,,,,
3,32276,337352,Amador,CEA Amador Co,James A. Wieden High,78,,,,,
3,73981,330019,Amador,Amador County Unified,Independence High (Continuation),41,,,,,
3,73981,330050,Amador,Amador County Unified,North Star Independent Study,25,,,,,
3,73981,330753,Amador,Amador County Unified,Amador High,196,47,23.98,24.28,39,82.98
3,73981,334755,Amador,Amador County Unified,Argonaut High,118,25,21.19,23.2,14,56
4,10041,114991,Butte,Butte County Office of Education,CORE Butte Charter,28,,,,,
4,10041,430066,Butte,Butte County Office of Education,Table Mountain,14,,,,,
4,10041,430090,Butte,Butte County Office of Education,Learning Community Charter,87,1,1.15,NA,NA,NA
4,10041,6069256,Butte,Butte County Office of Education,Butte County Special Education,8,,,,,
4,61408,430207,Butte,Biggs Unified,Biggs Secondary Community Day,2,,,,,
4,61408,430827,Butte,Biggs Unified,Biggs High,57,3,5.26,NA,NA,NA
4,61424,111039,Butte,Chico Unified,Academy for Change,17,,,,,
4,61424,430199,Butte,Chico Unified,Oakdale,61,,,,,
4,61424,430215,Butte,Chico Unified,Loma Vista,1,,,,,
4,61424,431502,Butte,Chico Unified,Fair View High (Continuation),134,,,,,
4,61424,431676,Butte,Chico Unified,Chico High,463,44,9.5,23.48,32,72.73
4,61424,437558,Butte,Chico Unified,Pleasant Valley High,467,74,15.85,23.93,62,83.78
4,61432,430124,Butte,Durham Unified,Mission High,1,,,,,
4,61432,433201,Butte,Durham Unified,Durham High,88,1,1.14,NA,NA,NA
4,61515,430116,Butte,Oroville Union High,Challenge Charter High,45,4,8.89,NA,NA,NA
4,61515,430140,Butte,Oroville Union High,Oroville High Community Day,1,,,,,
4,61515,434803,Butte,Oroville Union High,Las Plumas High,267,10,3.75,NA,NA,NA
4,61515,435602,Butte,Oroville Union High,Oroville High,268,19,7.09,18.47,6,31.58
4,61515,437566,Butte,Oroville Union High,Prospect High (Continuation),74,,,,,
4,61531,430108,Butte,Paradise Unified,Paradise Community Day,3,,,,,
4,61531,432856,Butte,Paradise Unified,Ridgeview High (Continuation),55,,,,,
4,61531,437350,Butte,Paradise Unified,Paradise Senior High,346,34,9.83,23.53,24,70.59
4,61531,6112585,Butte,Paradise Unified,Hometech Charter,32,,,,,
4,75507,430157,Butte,Gridley Unified,Gridley Unified Community Day,1,,,,,
4,75507,433946,Butte,Gridley Unified,Esperanza High (Continuation),24,,,,,
4,75507,433953,Butte,Gridley Unified,Gridley High,125,21,16.8,20.67,11,52.38
5,10058,530048,Calaveras,Calaveras County Office of Education,Mountain Ranch Community/Independent Stu,14,,,,,
5,10058,530154,Calaveras,Calaveras County Office of Education,Mountain Oaks,48,,,,,
5,10058,6077150,Calaveras,Calaveras County Office of Education,Calaveras County Special Education (SELP,1,,,,,
5,10058,9010745,Calaveras,Calaveras County Office of Education,Oakendell Community,9,,,,,
5,61556,530014,Calaveras,Bret Harte Union High,Vallecito Continuation High,19,,,,,
5,61556,530121,Calaveras,Bret Harte Union High,John Vierra High,20,,,,,
5,61556,532507,Calaveras,Bret Harte Union High,Bret Harte Union High,173,12,6.94,23.17,9,75
5,61564,530022,Calaveras,Calaveras Unified,Gold Strike High,21,,,,,
5,61564,530055,Calaveras,Calaveras Unified,Calaveras Unified Alternative-Sierra Hil,7,,,,,
5,61564,530063,Calaveras,Calaveras Unified,West Point Alternative,2,,,,,
5,61564,530113,Calaveras,Calaveras Unified,Jenny Lind High,5,,,,,
5,61564,531509,Calaveras,Calaveras Unified,Calaveras High,224,30,13.39,24.63,26,86.67
6,10066,630111,Colusa,Colusa County Office of Education,Colusa County Community,1,,,,,
6,10066,634774,Colusa,Colusa County Office of Education,Juvenile Hall-Nielson,12,,,,,
6,10066,6069264,Colusa,Colusa County Office of Education,Colusa County Special Education,6,,,,,
6,61598,630012,Colusa,Colusa Unified,Colusa Alternative High (Continuation),11,,,,,
6,61598,630046,Colusa,Colusa Unified,Colusa Alternative Home,23,,,,,
6,61598,631259,Colusa,Colusa Unified,Colusa High,62,10,16.13,NA,NA,NA
6,61606,630095,Colusa,Maxwell Unified,Enid Prine High (Continuation),3,,,,,
6,61606,634758,Colusa,Maxwell Unified,Maxwell High,23,,,,,
6,61614,630087,Colusa,Pierce Joint Unified,Arbuckle Alternative High (Continuation),10,,,,,
6,61614,635250,Colusa,Pierce Joint Unified,Pierce High,82,5,6.1,NA,NA,NA
6,61622,630038,Colusa,Williams Unified,Mid Valley High (Continuation),12,,,,,
6,61622,637504,Colusa,Williams Unified,Williams High,76,7,9.21,NA,NA,NA
7,10074,107326,Contra Costa,Contra Costa County Office of Education,Far East County Programs,14,,,,,
7,10074,107334,Contra Costa,Contra Costa County Office of Education,Central County Special Education Program,7,,,,,
7,10074,118208,Contra Costa,Contra Costa County Office of Education,Heritage CCCOE Special Education Program,7,,,,,
7,10074,730242,Contra Costa,Contra Costa County Office of Education,Contra Costa County Court,44,,,,,
7,10074,730614,Contra Costa,Contra Costa County Office of Education,Golden Gate Community,13,,,,,
7,10074,6077168,Contra Costa,Contra Costa County Office of Education,Floyd I. Marchus,10,,,,,
7,61630,107524,Contra Costa,Acalanes Union High,Acalanes Center for Independent Study,38,,,,,
7,61630,730283,Contra Costa,Acalanes Union High,Acalanes High,325,118,36.31,25.9,105,88.98
7,61630,731125,Contra Costa,Acalanes Union High,Campolindo High,303,128,42.24,26.92,116,90.63
7,61630,732404,Contra Costa,Acalanes Union High,Del Oro High (Continuation),33,,,,,
7,61630,733725,Contra Costa,Acalanes Union High,Las Lomas High,392,105,26.79,25.02,90,85.71
7,61630,734244,Contra Costa,Acalanes Union High,Miramonte High,362,133,36.74,27.06,121,90.98
7,61648,110494,Contra Costa,Antioch Unified,Bidwell Continuation High,117,,,,,
7,61648,730101,Contra Costa,Antioch Unified,Live Oak High (Continuation),115,1,0.87,NA,NA,NA
7,61648,730259,Contra Costa,Antioch Unified,Prospects High (Alternative),133,1,0.75,NA,NA,NA
7,61648,730465,Contra Costa,Antioch Unified,Deer Valley High,711,54,7.59,20.85,28,51.85
7,61648,730481,Contra Costa,Antioch Unified,Bridges,5,,,,,
7,61648,730861,Contra Costa,Antioch Unified,Antioch High,519,69,13.29,20.33,31,44.93
7,61697,737023,Contra Costa,John Swett Unified,John Swett High,130,15,11.54,19.87,7,46.67
7,61697,737619,Contra Costa,John Swett Unified,Willow High,20,,,,,
7,61721,107797,Contra Costa,Liberty Union High,Heritage High,420,69,16.43,23.62,55,79.71
7,61721,730457,Contra Costa,Liberty Union High,Freedom High,495,65,13.13,21.43,36,55.38
7,61721,730572,Contra Costa,Liberty Union High,Independence High,202,,,,,
7,61721,733980,Contra Costa,Liberty Union High,Liberty High,493,72,14.6,21.38,41,56.94
7,61721,733998,Contra Costa,Liberty Union High,La Paloma High (Continuation),135,,,,,
7,61739,730440,Contra Costa,Martinez Unified,Vicente Martinez High,47,,,,,
7,61739,730473,Contra Costa,Martinez Unified,Briones (Alternative),50,,,,,
7,61739,730549,Contra Costa,Martinez Unified,Alhambra Senior High,288,28,9.72,24.04,21,75
7,61754,730044,Contra Costa,Mt. Diablo Unified,Northgate High,394,165,41.88,24.55,125,75.76
7,61754,730317,Contra Costa,Mt. Diablo Unified,Horizons Alternative,48,3,6.25,NA,NA,NA
7,61754,730333,Contra Costa,Mt. Diablo Unified,Gateway High (Continuation),34,,,,,
7,61754,730341,Contra Costa,Mt. Diablo Unified,Nueva Vista High (Continuation),20,,,,,
7,61754,730358,Contra Costa,Mt. Diablo Unified,Prospect High (Continuation),24,,,,,
7,61754,730416,Contra Costa,Mt. Diablo Unified,Crossroads High (Continuation),13,,,,,
7,61754,730424,Contra Costa,Mt. Diablo Unified,Summit High (Continuation),25,,,,,
7,61754,730655,Contra Costa,Mt. Diablo Unified,Diablo Community Day,2,,,,,
7,61754,731380,Contra Costa,Mt. Diablo Unified,Clayton Valley High,397,60,15.11,23.8,46,76.67
7,61754,731646,Contra Costa,Mt. Diablo Unified,College Park High,447,90,20.13,24.08,67,74.44
7,61754,731836,Contra Costa,Mt. Diablo Unified,Concord High,393,40,10.18,22.4,21,52.5
7,61754,734566,Contra Costa,Mt. Diablo Unified,Mt. Diablo High,279,17,6.09,19.06,6,35.29
7,61754,734764,Contra Costa,Mt. Diablo Unified,Olympic Continuation High,147,1,0.68,NA,NA,NA
7,61754,737809,Contra Costa,Mt. Diablo Unified,Ygnacio Valley High,284,40,14.08,21.73,21,52.5
7,61788,730184,Contra Costa,Pittsburg Unified,Riverside High (Continuation),152,1,0.66,NA,NA,NA
7,61788,735407,Contra Costa,Pittsburg Unified,Pittsburg Senior High,529,31,5.86,19.23,9,29.03
7,61788,6084966,Contra Costa,Pittsburg Unified,Rancho Medanos Junior High,1,,,,,
7,61796,101477,Contra Costa,West Contra Costa Unified,Leadership Public Schools: Richmond,69,33,47.83,15.24,2,6.06
7,61796,118539,Contra Costa,West Contra Costa Unified,WCCUSD Community Day School Program,1,,,,,
7,61796,730275,Contra Costa,West Contra Costa Unified,North Campus Continuation,40,,,,,
7,61796,730291,Contra Costa,West Contra Costa Unified,Middle College High,67,10,14.93,NA,NA,NA
7,61796,730325,Contra Costa,West Contra Costa Unified,Vista High (Alternative),72,1,1.39,NA,NA,NA
7,61796,730366,Contra Costa,West Contra Costa Unified,Delta Continuation High,36,,,,,
7,61796,730374,Contra Costa,West Contra Costa Unified,Kappa Continuation High,30,,,,,
7,61796,730382,Contra Costa,West Contra Costa Unified,Omega Continuation High,7,,,,,
7,61796,730523,Contra Costa,West Contra Costa Unified,Transition Learning Center,2,,,,,
7,61796,730598,Contra Costa,West Contra Costa Unified,Hercules High,290,46,15.86,23.35,29,63.04
7,61796,732164,Contra Costa,West Contra Costa Unified,De Anza Senior High,217,31,14.29,17.68,7,22.58
7,61796,732941,Contra Costa,West Contra Costa Unified,El Cerrito Senior High,272,63,23.16,20.48,29,46.03
7,61796,733253,Contra Costa,West Contra Costa Unified,Gompers (Samuel) Continuation,23,,,,,
7,61796,733659,Contra Costa,West Contra Costa Unified,Kennedy High,192,19,9.9,18.11,7,36.84
7,61796,735316,Contra Costa,West Contra Costa Unified,Pinole Valley High,356,56,15.73,20.07,23,41.07
7,61796,735902,Contra Costa,West Contra Costa Unified,Richmond High,414,25,6.04,17.76,6,24
7,61804,730051,Contra Costa,San Ramon Valley Unified,California High,600,154,25.67,26.29,135,87.66
7,61804,730218,Contra Costa,San Ramon Valley Unified,Venture (Alternative),152,6,3.95,NA,NA,NA
7,61804,734368,Contra Costa,San Ramon Valley Unified,Monte Vista High,664,268,40.36,26.34,242,90.3
7,61804,736504,Contra Costa,San Ramon Valley Unified,San Ramon Valley High,508,200,39.37,25.21,173,86.5
7,61804,736819,Contra Costa,San Ramon Valley Unified,Del Amigo High (Continuation),39,1,2.56,NA,NA,NA
8,10082,106625,Del Norte,Del Norte County Office of Education,Elk Creek,2,,,,,
8,10082,106666,Del Norte,Del Norte County Office of Education,Bar-O,14,,,,,
8,10082,109777,Del Norte,Del Norte County Office of Education,Klamath River Early College of the Redwo,5,,,,,
8,10082,830018,Del Norte,Del Norte County Office of Education,Paragon/Avalon Independent Study,16,,,,,
8,10082,830042,Del Norte,Del Norte County Office of Education,McCarthy Center/Court/Community,5,,,,,
8,10082,830059,Del Norte,Del Norte County Office of Education,Castle Rock,164,1,0.61,NA,NA,NA
8,61820,833004,Del Norte,Del Norte County Unified,Del Norte High,270,2,0.74,NA,NA,NA
8,61820,836205,Del Norte,Del Norte County Unified,Sunset High (Continuation),41,,,,,
9,10090,106047,El Dorado,El Dorado County Office of Education,Blue Ridge,4,,,,,
9,10090,930016,El Dorado,El Dorado County Office of Education,Golden Ridge,7,,,,,
9,10090,930123,El Dorado,El Dorado County Office of Education,"Charter Community School, Home Study Aca",68,1,1.47,NA,NA,NA
9,10090,930131,El Dorado,El Dorado County Office of Education,Rite of Passage,11,,,,,
9,61853,101808,El Dorado,El Dorado Union High,Mountain View High,25,,,,,
9,61853,930081,El Dorado,El Dorado Union High,Oak Ridge High,536,145,27.05,25.37,119,82.07
9,61853,930149,El Dorado,El Dorado Union High,Independent Learning Center (Alternative,101,,,,,
9,61853,930164,El Dorado,El Dorado Union High,Union Mine High,312,45,14.42,22.98,29,64.44
9,61853,930214,El Dorado,El Dorado Union High,Shenandoah High,29,1,3.45,NA,NA,NA
9,61853,930222,El Dorado,El Dorado Union High,Vista High,20,,,,,
9,61853,932756,El Dorado,El Dorado Union High,El Dorado High,274,55,20.07,22.8,39,70.91
9,61853,934554,El Dorado,El Dorado Union High,Independence Continuation,61,,,,,
9,61853,936302,El Dorado,El Dorado Union High,Ponderosa High,494,108,21.86,25.53,96,88.89
9,61903,930040,El Dorado,Lake Tahoe Unified,Mt. Tallac High,63,,,,,
9,61903,930107,El Dorado,Lake Tahoe Unified,Transitional Learning Center (Continuati,33,,,,,
9,61903,937805,El Dorado,Lake Tahoe Unified,South Tahoe High,269,77,28.62,22.38,47,61.04
9,73783,930073,El Dorado,Black Oak Mine Unified,Golden Sierra High,183,12,6.56,25.42,11,91.67
9,73783,930099,El Dorado,Black Oak Mine Unified,Divide High,10,,,,,
9,73783,930156,El Dorado,Black Oak Mine Unified,Black Oak Mine Community Day,1,,,,,
10,10108,111682,Fresno,Fresno County Office of Education,Hume Lake Charter,2,1,50,NA,NA,NA
10,10108,1030337,Fresno,Fresno County Office of Education,Fresno County Court,157,,,,,
10,10108,1030899,Fresno,Fresno County Office of Education,Fresno County Community,24,,,,,
10,10108,1030923,Fresno,Fresno County Office of Education,Teilman Community Day,10,,,,,
10,10108,6069488,Fresno,Fresno County Office of Education,Fresno County Special Education Local Pl,21,,,,,
10,62117,110270,Fresno,Clovis Unified,Clovis Community Day Secondary,9,,,,,
10,62117,113555,Fresno,Clovis Unified,Clovis North High,2,,,,,
10,62117,1030196,Fresno,Clovis Unified,Clovis West High,630,116,18.41,24.26,93,80.17
10,62117,1030469,Fresno,Clovis Unified,Enterprise Alternative,51,,,,,
10,62117,1030501,Fresno,Clovis Unified,Buchanan High,783,177,22.61,24.32,139,78.53
10,62117,1030683,Fresno,Clovis Unified,Clovis East High,634,136,21.45,20.57,66,48.53
10,62117,1031004,Fresno,Clovis Unified,Gateway High (Continuation),116,,,,,
10,62117,1031053,Fresno,Clovis Unified,Clovis High,620,104,16.77,22.08,60,57.69
10,62125,1030113,Fresno,Coalinga-Huron Joint Unified,Cambridge High,29,,,,,
10,62125,1030477,Fresno,Coalinga-Huron Joint Unified,Chesnut High (Continuation),25,,,,,
10,62125,1030873,Fresno,Coalinga-Huron Joint Unified,Miles W. Culwell Community Day,2,,,,,
10,62125,1031376,Fresno,Coalinga-Huron Joint Unified,Coalinga High,239,3,1.26,NA,NA,NA
10,62158,108977,Fresno,Fowler Unified,Casa Blanca Community Day,4,,,,,
10,62158,1031954,Fresno,Fowler Unified,Casa Blanca Continuation,8,,,,,
10,62158,1032150,Fresno,Fowler Unified,Fowler High,165,9,5.45,NA,NA,NA
10,62166,106740,Fresno,Fresno Unified,Valley Preparatory Academy Charter,5,,,,,
10,62166,108555,Fresno,Fresno Unified,Design Science Early College High,25,,,,,
10,62166,114355,Fresno,Fresno Unified,Sierra Charter,127,,,,,
10,62166,114553,Fresno,Fresno Unified,University High,92,21,22.83,27.14,21,100
10,62166,1030279,Fresno,Fresno Unified,Bullard High,609,93,15.27,21.53,52,55.91
10,62166,1030287,Fresno,Fresno Unified,J. E. Young Academic Center,265,1,0.38,NA,NA,NA
10,62166,1030295,Fresno,Fresno Unified,Erma Duncan Polytechnical High,206,13,6.31,17.92,2,15.38
10,62166,1030584,Fresno,Fresno Unified,Cambridge Continuation High,229,,,,,
10,62166,1030642,Fresno,Fresno Unified,School of Unlimited Learning,126,,,,,
10,62166,1030667,Fresno,Fresno Unified,New Millennium Charter,122,,,,,
10,62166,1030675,Fresno,Fresno Unified,Sunnyside High,624,136,21.79,17.63,27,19.85
10,62166,1030717,Fresno,Fresno Unified,Florence E. Rata,11,,,,,
10,62166,1030733,Fresno,Fresno Unified,Fresno Prep Academy,66,,,,,
10,62166,1030840,Fresno,Fresno Unified,Carter G. Woodson Public Charter,34,,,,,
10,62166,1031632,Fresno,Fresno Unified,Dewolf Continuation High,159,,,,,
10,62166,1031897,Fresno,Fresno Unified,Edison High,407,144,35.38,20.97,71,49.31
10,62166,1032507,Fresno,Fresno Unified,Fresno High,559,55,9.84,18.67,18,32.73
10,62166,1032911,Fresno,Fresno Unified,Herbert Hoover High,461,13,2.82,19.77,7,53.85
10,62166,1034214,Fresno,Fresno Unified,McLane High,383,20,5.22,16.85,3,15
10,62166,1035831,Fresno,Fresno Unified,Roosevelt High,442,36,8.14,16.19,3,8.33
10,62166,6112619,Fresno,Fresno Unified,Fulton Special Education,3,,,,,
10,62174,1030774,Fresno,West Fresno Elementary,W.E.B. DuBois Public Charter,31,,,,,
10,62257,1033695,Fresno,Kingsburg Joint Union High,Kingsburg High,248,37,14.92,21.92,26,70.27
10,62257,1033729,Fresno,Kingsburg Joint Union High,Oasis Continuation High,16,,,,,
10,62265,108092,Fresno,Kings Canyon Joint Unified,Orange Cove High,121,6,4.96,NA,NA,NA
10,62265,116640,Fresno,Kings Canyon Joint Unified,Dunlap Leadership Academy,3,,,,,
10,62265,1030378,Fresno,Kings Canyon Joint Unified,Mountain View (Alternative),270,,,,,
10,62265,1033703,Fresno,Kings Canyon Joint Unified,Kings Canyon Continuation,38,,,,,
10,62265,1035310,Fresno,Kings Canyon Joint Unified,Reedley High,413,60,14.53,20,25,41.67
10,62281,110445,Fresno,Laton Joint Unified,Laton Community Day,1,,,,,
10,62281,1033950,Fresno,Laton Joint Unified,Laton High,41,,,,,
10,62364,107623,Fresno,Parlier Unified,Crescent View Charter High School,46,,,,,
10,62364,1034990,Fresno,Parlier Unified,Parlier High,196,26,13.27,16.92,2,7.69
10,62364,1035005,Fresno,Parlier Unified,San Joaquin Valley High (Continuation),36,,,,,
10,62414,1030451,Fresno,Sanger Unified,Taft High,16,,,,,
10,62414,1030766,Fresno,Sanger Unified,Hallmark Charter,66,3,4.55,NA,NA,NA
10,62414,1030824,Fresno,Sanger Unified,Community Day,2,,,,,
10,62414,1036086,Fresno,Sanger Unified,Kings River High (Continuation),40,,,,,
10,62414,1036094,Fresno,Sanger Unified,Sanger High,588,32,5.44,20.09,13,40.63
10,62430,1030758,Fresno,Selma Unified,Selma Independent,53,,,,,
10,62430,1036607,Fresno,Selma Unified,Heartland High (Continuation),10,,,,,
10,62430,1036672,Fresno,Selma Unified,Selma High,395,47,11.9,19.32,15,31.91
10,62521,1038298,Fresno,Washington Union High,Easton Continuation High,4,,,,,
10,62521,1038306,Fresno,Washington Union High,Washington High,286,21,7.34,15.52,2,9.52
10,62539,6112387,Fresno,West Park Elementary,West Park Charter Academy,134,1,0.75,NA,NA,NA
10,73809,1030121,Fresno,Firebaugh-Las Deltas Joint Unified,Firebaugh High,174,49,28.16,17.94,10,20.41
10,73809,1030147,Fresno,Firebaugh-Las Deltas Joint Unified,El Puente High,16,,,,,
